timestamp,datetime,active_containers
1745849657.941033,2025-04-28 14:14:17,0
1745849663.985894,2025-04-28 14:14:23,2
1745849669.475714,2025-04-28 14:14:29,2
1745849674.9606183,2025-04-28 14:14:34,3
1745849680.8490965,2025-04-28 14:14:40,4
1745849687.523036,2025-04-28 14:14:47,5
1745849693.0011694,2025-04-28 14:14:53,5
1745849698.3161736,2025-04-28 14:14:58,6
1745849703.8295624,2025-04-28 14:15:03,7
1745849709.4455028,2025-04-28 14:15:09,8
1745849714.8390641,2025-04-28 14:15:14,8
1745849721.3762078,2025-04-28 14:15:21,9
1745849727.0000217,2025-04-28 14:15:27,9
1745849733.0410109,2025-04-28 14:15:33,10
1745849738.4475446,2025-04-28 14:15:38,10
1745849743.9329264,2025-04-28 14:15:43,10
1745849749.581391,2025-04-28 14:15:49,11
1745849755.6735096,2025-04-28 14:15:55,12
1745849761.7847795,2025-04-28 14:16:01,13
1745849767.4706492,2025-04-28 14:16:07,13
1745849772.9265072,2025-04-28 14:16:12,14
1745849778.6149845,2025-04-28 14:16:18,15
1745849783.9826138,2025-04-28 14:16:23,16
1745849789.3743854,2025-04-28 14:16:29,16
1745849794.903239,2025-04-28 14:16:34,17
1745849802.2148418,2025-04-28 14:16:42,18
1745849809.3282835,2025-04-28 14:16:49,19
1745849815.300736,2025-04-28 14:16:55,19
1745849820.9186115,2025-04-28 14:17:00,20
1745849826.6115835,2025-04-28 14:17:06,21
1745849832.2623014,2025-04-28 14:17:12,21
1745849837.8345525,2025-04-28 14:17:17,22
1745849843.8437529,2025-04-28 14:17:23,23
1745849849.23328,2025-04-28 14:17:29,23
1745849854.797067,2025-04-28 14:17:34,22
1745849860.1793718,2025-04-28 14:17:40,19
1745849866.1597166,2025-04-28 14:17:46,17
1745849871.8270357,2025-04-28 14:17:51,15
1745849877.4076333,2025-04-28 14:17:57,12
1745849883.0504434,2025-04-28 14:18:03,10
1745849889.914798,2025-04-28 14:18:09,7
1745849895.7232227,2025-04-28 14:18:15,4
1745849901.1000621,2025-04-28 14:18:21,2
1745849906.3616714,2025-04-28 14:18:26,2
1745849911.7154348,2025-04-28 14:18:31,2
1745849917.0872698,2025-04-28 14:18:37,2
1745849922.4591346,2025-04-28 14:18:42,2
1745849927.7299051,2025-04-28 14:18:47,2
1745849933.1412277,2025-04-28 14:18:53,2
1745849938.5080793,2025-04-28 14:18:58,2
1745849943.8711343,2025-04-28 14:19:03,2
1745849949.239401,2025-04-28 14:19:09,2
1745849954.6016707,2025-04-28 14:19:14,2
1745849959.9724565,2025-04-28 14:19:19,2
1745849965.3335636,2025-04-28 14:19:25,2
1745849970.70001,2025-04-28 14:19:30,2
1745849975.9509313,2025-04-28 14:19:35,2
1745849981.3204765,2025-04-28 14:19:41,2
1745849987.6173418,2025-04-28 14:19:47,3
1745849994.156843,2025-04-28 14:19:54,4
1745850000.429497,2025-04-28 14:20:00,5
1745850006.8057423,2025-04-28 14:20:06,6
1745850012.3397381,2025-04-28 14:20:12,6
1745850017.7370906,2025-04-28 14:20:17,7
1745850023.1385632,2025-04-28 14:20:23,7
1745850028.3974838,2025-04-28 14:20:28,8
1745850033.9270244,2025-04-28 14:20:33,9
1745850039.288567,2025-04-28 14:20:39,9
1745850044.6477628,2025-04-28 14:20:44,9
1745850050.895783,2025-04-28 14:20:50,8
1745850057.217926,2025-04-28 14:20:57,5
1745850063.2309523,2025-04-28 14:21:03,3
1745850068.5890288,2025-04-28 14:21:08,2
1745850073.9477015,2025-04-28 14:21:13,2
1745850079.3290315,2025-04-28 14:21:19,2
1745850084.5872135,2025-04-28 14:21:24,2
1745850089.840832,2025-04-28 14:21:29,2
1745850095.1827526,2025-04-28 14:21:35,2
1745850100.536473,2025-04-28 14:21:40,2
1745850105.9121568,2025-04-28 14:21:45,2
1745850111.2034767,2025-04-28 14:21:51,2
1745850116.5765712,2025-04-28 14:21:56,2
1745850121.9171956,2025-04-28 14:22:01,2
1745850127.2755866,2025-04-28 14:22:07,2
1745850132.6359408,2025-04-28 14:22:12,2
1745850137.9947264,2025-04-28 14:22:17,2
1745850144.2509043,2025-04-28 14:22:24,2
1745850149.621355,2025-04-28 14:22:29,2
1745850154.986859,2025-04-28 14:22:34,2
1745850160.3512292,2025-04-28 14:22:40,2
